,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rio Grande,66,BR,1569648191,89,-32.03,-52.1,51.66,6.42
1,Victoria,75,BN,1569648219,66,5.28,115.24,89.6,3.36
2,Busselton,0,AU,1569648078,38,-33.64,115.35,73.0,13.13
3,Rikitea,39,PF,1569647916,79,-23.12,-134.97,73.48,8.37
4,Kruisfontein,91,ZA,1569648223,84,-34.0,24.73,64.46,6.4
5,Luderitz,0,NA,1569648224,100,-26.65,15.16,55.4,14.99
6,Yellowknife,75,CA,1569648179,80,62.45,-114.38,33.8,10.29
7,Bluff,8,AU,1569648112,27,-23.58,149.07,86.37,0.96
8,Georgetown,0,GY,1569648205,100,6.8,-58.16,75.2,5.17
9,Mahebourg,40,MU,1569648228,65,-20.41,57.7,77.0,14.99
10,Hilo,1,US,1569648133,66,19.71,-155.08,84.2,4.7
11,Kathmandu,75,NP,1569648230,83,27.71,85.32,71.6,6.93
12,Katobu,78,ID,1569648232,62,-4.94,122.53,84.01,0.96
13,Paamiut,0,GL,1569648234,82,61.99,-49.67,41.28,1.39
14,Cam Ranh,40,VN,1569648235,69,11.92,109.15,89.6,11.41
15,Port Alfred,29,ZA,1569648064,92,-33.59,26.89,66.99,1.01
16,Lebu,90,ET,1569648091,93,8.96,38.73,55.4,2.24
17,Bredasdorp,100,ZA,1569647919,77,-34.53,20.04,64.99,13.87
18,Puerto Ayora,2,EC,1569648047,86,-0.74,-90.35,68.0,5.99
19,Codrington,75,AU,1569648240,21,-28.95,153.24,89.6,14.99
20,Mataura,91,NZ,1569648095,84,-46.19,168.86,53.01,18.99
21,New Norfolk,75,AU,1569648053,38,-42.78,147.06,59.0,14.99
22,Krupka,0,CZ,1569648243,82,50.68,13.86,55.4,6.93
23,Pedasi,85,PA,1569648244,93,7.53,-80.03,73.26,3.44
24,Saint-Philippe,90,CA,1569648218,77,45.36,-73.48,64.4,9.17
25,Arinos,45,BR,1569648246,70,-15.92,-46.11,69.61,2.59
26,Kidal,0,ML,1569648247,10,18.44,1.41,86.22,11.5
27,Ushuaia,40,AR,1569647921,70,-54.81,-68.31,46.4,4.16
28,Port Elizabeth,1,US,1569648141,87,39.31,-74.98,70.0,5.39
29,Airai,0,TL,1569648250,47,-8.93,125.41,85.0,6.42
30,Adrar,0,DZ,1569648251,10,27.87,-0.29,80.6,5.82
31,Takoradi,100,GH,1569648252,94,4.89,-1.75,74.6,4.88
32,Nagyhalasz,100,HU,1569648253,82,48.13,21.77,59.0,8.95
33,Albany,20,US,1569647916,71,42.65,-73.75,59.0,2.35
34,Nalut,0,LY,1569648255,84,31.86,10.98,65.7,7.2
35,Hithadhoo,71,MV,1569648068,79,-0.6,73.08,81.92,19.77
36,Cockburn Town,100,TC,1569648253,76,21.46,-71.14,83.96,8.28
37,Nanortalik,0,GL,1569648110,80,60.14,-45.24,39.64,1.9
38,Finote Selam,100,ET,1569648259,90,10.7,37.27,64.57,2.46
39,Khatanga,86,RU,1569648132,61,71.98,102.47,35.63,3.98
40,Gat,20,SN,1569648142,88,14.69,-16.54,78.8,5.82
41,Lira,93,UG,1569648263,82,2.25,32.9,71.25,5.97
42,Dovers,30,VC,1569648264,74,12.88,-61.18,83.25,11.59
43,Kodiak,90,US,1569648198,88,39.95,-94.76,69.01,11.41
44,Kongsberg,90,NO,1569648266,100,59.67,9.65,50.0,9.17
45,Mount Gambier,75,AU,1569648069,62,-37.83,140.78,57.2,8.05
46,Lodja,100,CD,1569648268,75,-3.52,23.6,76.5,2.26
47,Qaanaaq,100,GL,1569648109,46,77.48,-69.36,38.25,11.95
48,Carnarvon,4,ZA,1569648270,11,-30.97,22.13,64.59,9.98
49,College,75,US,1569648129,70,64.86,-147.8,42.8,2.1
50,Aswan,0,EG,1569648273,31,24.09,32.9,78.8,5.82
51,Jamestown,8,AU,1569648134,32,-33.21,138.6,67.97,11.12
52,Trollhattan,80,SE,1569648275,100,58.28,12.29,54.0,6.93
53,Constitucion,100,MX,1569648235,71,23.99,-104.67,64.99,10.0
54,Nantong,47,CN,1569648277,53,31.98,120.89,91.99,5.01
55,Zakamensk,69,RU,1569648278,54,50.38,103.29,53.23,3.76
56,Quatre Cocos,40,MU,1569648279,65,-20.21,57.76,77.0,14.99
57,Hobart,75,AU,1569648045,38,-42.88,147.33,59.0,14.99
58,Marau,32,BR,1569648282,89,-28.45,-52.2,52.22,13.53
59,Pudozh,56,RU,1569648283,78,61.81,36.54,38.22,2.48
60,Saint George,20,GR,1569648261,82,39.45,22.34,59.0,3.36
61,Grand-Bourg,20,GP,1569648285,88,15.88,-61.31,77.0,1.12
62,Cherskiy,100,RU,1569648224,98,68.75,161.3,33.36,4.03
63,Aykhal,0,RU,1569648287,59,65.95,111.51,33.8,4.47
64,Moron,58,HT,1569648288,79,18.56,-74.26,80.9,5.46
65,Maldonado,0,UY,1569648026,87,-34.91,-54.96,51.8,11.41
66,Greenville,90,US,1569648290,83,34.85,-82.4,78.8,4.7
67,Vaini,75,IN,1569648149,78,15.34,74.49,75.2,9.17
68,Mar del Plata,5,AR,1569648211,37,-46.43,-67.52,55.25,17.31
69,Dvinskoy,97,RU,1569648294,88,62.16,45.12,38.22,5.82
70,Lata,30,IN,1569648220,95,30.78,78.62,43.82,7.56
71,Yarim,94,YE,1569648296,51,14.3,44.38,74.04,4.83
72,Thompson,90,CA,1569648168,59,55.74,-97.86,35.6,10.29
73,Padang,63,ID,1569648247,85,-0.92,100.36,79.24,16.11
74,Chake Chake,36,TZ,1569648299,80,-5.25,39.77,76.56,12.1
75,Grindavik,0,IS,1569648300,87,63.84,-22.43,44.6,14.99
76,Tuatapere,99,NZ,1569648263,84,-46.13,167.69,53.01,18.99
77,Bucerias,90,MX,1569648302,83,20.76,-105.33,84.2,8.81
78,Yulara,0,AU,1569648232,9,-25.24,130.99,93.2,11.41
79,Zhezkazgan,18,KZ,1569648266,45,47.8,67.71,46.4,6.71
80,Vakhrushev,0,RU,1569648305,59,48.99,142.86,63.92,6.29
81,Hermanus,100,ZA,1569648104,85,-34.42,19.24,64.99,10.0
82,Hovd,0,NO,1569648307,71,63.83,10.7,55.0,13.87
83,Vestmannaeyjar,47,IS,1569648229,84,63.44,-20.27,48.62,1.77
84,Kawalu,84,ID,1569648261,62,-7.38,108.21,79.35,8.41
85,Nome,40,US,1569648194,88,30.04,-94.42,82.99,4.7
86,Kapaa,40,US,1569648211,78,22.08,-159.32,84.2,9.17
87,Innisfail,10,AU,1569648314,37,-17.52,146.03,82.99,5.99
88,Foumban,100,CM,1569648315,89,5.73,10.9,62.99,2.91
89,Kamenka,42,MD,1569648316,92,48.03,28.7,45.0,3.06
90,Udachnyy,0,RU,1569648317,59,66.42,112.4,33.8,4.47
91,San Quintin,60,PH,1569648318,71,17.54,120.52,84.57,6.51
92,Punta Arenas,0,CL,1569648062,81,-53.16,-70.91,42.8,5.82
93,Provideniya,100,RU,1569648101,99,64.42,-173.23,41.4,4.79
94,Chaihe,0,CN,1569648321,44,44.77,129.68,75.98,6.17
95,Severo-Kurilsk,0,RU,1569648210,86,50.68,156.12,47.42,14.16
96,Lavrentiya,100,RU,1569648324,98,65.58,-170.99,39.68,5.35
97,Butaritari,36,KI,1569648063,63,3.07,172.79,85.41,7.54
98,Tuktoyaktuk,20,CA,1569648097,73,69.44,-133.03,35.6,5.82
99,Mackay,90,CA,1569648327,92,53.65,-115.58,32.0,9.17
100,Sitka,1,US,1569648199,79,37.17,-99.65,66.99,25.99
101,Malanje,81,AO,1569648308,83,-9.54,16.35,68.19,3.11
102,Deputatskiy,95,RU,1569648332,84,69.3,139.9,26.3,1.74
103,Vanimo,73,PG,1569648333,69,-2.67,141.3,82.62,4.38
104,Chuy,89,UY,1569648334,80,-33.69,-53.46,55.18,11.52
105,Bambous Virieux,40,MU,1569648203,65,-20.34,57.76,77.0,14.99
106,Atuona,6,PF,1569648183,75,-9.8,-139.03,79.83,16.8
107,Azanka,99,RU,1569648337,79,58.04,64.79,37.5,7.4
108,Castro,90,CL,1569648136,100,-42.48,-73.76,48.2,16.11
109,Cape Town,0,ZA,1569648002,82,-33.93,18.42,64.0,3.36
110,Luwuk,100,ID,1569648226,80,-0.95,122.79,70.64,3.38
111,Pisco,90,PE,1569648121,82,-13.71,-76.2,62.6,11.41
112,Kavieng,100,PG,1569647917,70,-2.57,150.8,84.87,9.04
113,Puerto Escondido,96,MX,1569648345,96,15.86,-97.07,75.35,10.94
114,Dikson,94,RU,1569648204,78,73.51,80.55,34.33,10.74
115,Prieska,19,ZA,1569648347,10,-29.67,22.74,68.15,7.09
116,Gao,32,ML,1569648348,15,16.28,-0.04,88.49,5.84
117,Inuvik,5,CA,1569648298,92,68.36,-133.71,30.2,4.7
118,Yarada,75,IN,1569648350,74,17.65,83.27,86.0,9.17
119,Baruun-Urt,0,MN,1569648269,23,46.68,113.28,57.17,4.23
120,Heinola,90,FI,1569648352,100,61.2,26.03,41.0,8.05
121,Suoyarvi,100,RU,1569648353,89,62.08,32.35,42.94,4.52
122,Biak,100,ID,1569648354,80,-0.91,122.88,70.64,3.38
123,Ahuimanu,75,US,1569648355,74,21.44,-157.84,84.0,11.41
124,Pringsewu,5,ID,1569648356,51,-5.36,104.98,87.61,8.52
125,Salalah,75,OM,1569648357,70,17.01,54.1,84.2,8.05
126,Nikolskoye,90,RU,1569648135,93,59.7,30.79,46.0,4.47
127,Mount Pleasant,1,US,1569648359,78,33.16,-94.97,79.0,9.17
128,Chinsali,82,ZM,1569648360,43,-10.55,32.07,70.15,7.14
129,Portland,1,US,1569647568,87,43.66,-70.25,60.01,4.7
130,Hasaki,75,JP,1569648212,65,35.73,140.83,90.0,9.17
131,Saskylakh,94,RU,1569648079,76,71.97,114.09,32.78,8.75
132,Liverpool,92,GB,1569648269,87,53.41,-2.98,57.99,10.29
133,Nouakchott,0,MR,1569648366,88,18.08,-15.98,78.8,8.05
134,Khromtau,100,KZ,1569648367,80,50.26,58.44,42.0,19.93
135,Kahului,40,US,1569648273,78,20.89,-156.47,80.6,16.11
136,Hofn,98,IS,1569648250,89,64.25,-15.21,38.0,24.38
137,Arraial do Cabo,11,BR,1569648140,87,-22.97,-42.02,68.93,11.92
138,Tasiilaq,0,GL,1569647918,67,65.61,-37.64,37.4,5.48
139,Kroya,55,ID,1569648372,33,-6.5,108.06,96.59,13.58
140,Kamaishi,0,JP,1569648374,60,39.28,141.86,73.4,2.24
141,Faanui,7,PF,1569648213,83,-16.48,-151.75,79.26,13.04
142,Pathein,21,MM,1569648117,75,16.78,94.73,85.02,6.29
143,Torbay,90,CA,1569648208,100,47.66,-52.73,54.0,20.8
144,Port Lincoln,48,AU,1569648215,67,-34.72,135.86,54.13,8.9
145,Plan-de-Cuques,0,FR,1569648379,93,43.35,5.46,69.01,8.05
146,Acapulco,90,MX,1569648380,94,16.86,-99.88,77.0,4.7
147,Ciego de Avila,99,CU,1569648381,92,21.84,-78.76,74.27,3.24
148,Sibolga,5,ID,1569648382,78,1.74,98.78,82.1,11.23
149,Pimenta Bueno,57,BR,1569648384,66,-11.68,-61.19,77.48,1.95
150,Geraldton,20,CA,1569648247,84,49.72,-86.95,32.0,4.7
151,Baykit,63,RU,1569648386,60,61.68,96.39,36.83,6.2
152,Erbaa,40,TR,1569648387,93,40.67,36.56,63.0,4.7
153,Poum,0,MK,1569648280,87,41.28,20.71,48.2,4.7
154,Solginskiy,32,RU,1569648389,86,61.05,41.34,36.2,3.89
155,East London,75,ZA,1569648060,82,-33.02,27.91,64.4,12.75
156,Zhaotong,39,CN,1569648391,65,27.34,103.71,62.37,3.96
157,Peterhead,0,AU,1569648392,47,-34.83,138.5,62.01,9.17
158,Avarua,28,CK,1569648173,73,-21.21,-159.78,73.4,6.93
159,Fortuna,90,US,1569648152,76,40.6,-124.16,55.0,8.05
160,Tiksi,92,RU,1569648395,74,71.64,128.87,33.11,13.8
161,Ribeira Grande,1,PT,1569648208,87,38.52,-28.7,72.85,19.98
162,Quesnel,75,CA,1569648388,52,52.98,-122.49,41.0,14.99
163,Ondjiva,74,AO,1569648398,20,-17.07,15.73,64.95,8.34
164,Rehau,90,DE,1569648399,100,50.25,12.03,55.0,13.49
165,Praxedis Guerrero,1,MX,1569648400,49,31.37,-106.02,75.2,5.82
166,Brigantine,1,US,1569648401,77,39.41,-74.36,70.0,4.7
167,Chistogorskiy,100,RU,1569648402,89,53.98,87.38,48.66,11.99
168,Zambezi,27,ZM,1569648404,30,-13.55,23.12,64.77,5.95
169,Rome,0,IT,1569648277,77,41.89,12.48,64.4,5.82
170,Lafiagi,90,NG,1569648406,92,8.85,5.42,74.54,2.17
171,Yazman,0,SY,1569648408,51,36.74,38.46,76.02,3.62
172,Shimoda,75,JP,1569648409,78,34.7,138.93,80.01,3.36
173,Durango,100,MX,1569648183,71,24.02,-104.67,64.99,10.0
174,Ormara,0,PK,1569648411,37,25.21,64.64,96.45,10.18
175,Havre-Saint-Pierre,20,CA,1569648412,100,50.23,-63.6,37.4,2.82
176,Pevek,100,RU,1569648237,96,69.7,170.27,36.29,17.67
177,Goiatuba,19,BR,1569648414,65,-18.02,-49.36,71.75,6.22
178,Dera Ghazi Khan,0,PK,1569648415,29,30.03,70.64,101.15,9.71
179,Zyryanka,30,RU,1569648137,56,65.73,150.89,36.83,5.53
180,Warmbad,75,DE,1569648417,100,50.67,13.08,55.99,2.24
181,Ostrovnoy,95,RU,1569648159,83,68.05,39.51,43.2,17.92
182,Dong Hoi,2,VN,1569648419,69,17.48,106.6,81.87,11.21
183,Chapais,90,CA,1569648420,93,49.78,-74.86,51.8,9.17
184,Virginia Beach,75,US,1569647940,88,36.85,-75.98,75.2,8.05
185,Cabo San Lucas,4,MX,1569648193,75,22.89,-109.91,77.0,3.0
186,Westport,1,US,1569647870,93,41.14,-73.36,68.0,4.21
187,Karratha,100,AU,1569648425,14,-20.74,116.85,89.1,10.6
188,Manaus,75,BR,1569648426,94,-3.13,-59.98,73.4,2.24
189,Yantzaza,34,EC,1569648427,93,-3.83,-78.76,54.47,1.9
190,Savannakhet,20,TH,1569648428,49,16.57,104.76,89.6,2.24
191,Te Anau,100,NZ,1569648429,90,-45.41,167.72,47.9,7.43
192,Gravdal,0,NO,1569648430,81,59.79,5.78,55.0,10.29
193,Sorland,81,NO,1569648431,75,67.67,12.69,53.12,4.9
194,Chokurdakh,55,RU,1569648119,71,70.62,147.9,30.79,5.44
195,Namatanai,80,PG,1569648297,71,-3.66,152.44,83.49,8.86
196,Shu,98,KZ,1569648434,33,43.6,73.76,74.06,5.53
197,Pangody,95,RU,1569648201,90,65.85,74.49,34.17,3.8
198,Barrow,97,AR,1569648240,70,-38.31,-60.23,52.67,15.35
199,Fojnica,75,BA,1569648438,100,43.96,17.9,46.4,2.24
200,Broken Hill,0,AU,1569648359,28,-31.97,141.45,69.8,4.7
201,Surgut,40,RU,1569648440,86,61.25,73.4,37.4,2.24
202,Anupgarh,0,IN,1569648441,35,29.19,73.21,97.08,8.23
203,Gumla,100,IN,1569648442,91,23.04,84.54,72.76,6.85
204,Salinas,90,US,1569648036,82,36.67,-121.66,60.8,5.82
205,Nyuksenitsa,66,RU,1569648444,87,60.41,44.24,36.31,5.17
206,Frontignan,0,FR,1569648445,77,43.45,3.75,64.99,3.36
207,Naldurg,87,IN,1569648446,61,17.82,76.28,82.05,10.42
208,Husavik,5,CA,1569648232,79,50.56,-96.99,43.0,9.78
209,Nantucket,1,US,1569648448,93,41.28,-70.1,62.01,6.93
210,Half Moon Bay,90,US,1569648449,93,37.46,-122.43,60.01,8.05
211,La Paz,5,MX,1569648450,64,24.15,-110.32,75.2,9.17
212,Lumby,90,CA,1569648451,93,50.25,-118.97,45.0,16.11
213,Markapur,100,IN,1569648452,61,15.74,79.27,85.13,5.41
214,Nara,75,JP,1569648453,58,34.68,135.8,88.0,5.82
215,Itarema,24,BR,1569648250,76,-2.92,-39.92,77.5,11.07
216,Van Buren,90,US,1569648455,81,47.16,-67.94,50.0,4.16
217,Mansehra,38,PK,1569648456,61,34.33,73.2,74.2,4.74
218,Leningradskiy,100,RU,1569648246,94,69.38,178.42,39.93,4.23
219,Marsa Matruh,20,EG,1569648458,83,31.35,27.25,71.6,7.56
220,Nyaunglebin,24,MM,1569648459,56,17.95,96.73,88.82,4.32
221,Arlit,0,NE,1569648460,12,18.74,7.39,88.02,9.98
222,Kutum,75,SD,1569648461,56,14.2,24.66,75.39,8.52
223,Santa Maria,0,BR,1569648462,77,-16.02,-48.01,69.8,5.82
224,Apt,0,FR,1569648464,77,43.88,5.4,66.0,3.36
225,Lagos,75,NG,1569648465,94,6.46,3.39,73.4,3.15
226,Qasigiannguit,0,GL,1569648466,45,68.82,-51.19,46.4,17.22
227,Ballina,75,IE,1569648470,100,54.11,-9.15,57.0,12.75
228,Sobolevo,0,RU,1569648471,79,54.43,31.9,44.46,5.93
229,Kaitangata,100,NZ,1569647917,70,-46.28,169.85,54.0,15.99
230,Sorong,96,ID,1569648474,92,-0.86,131.25,75.73,5.97
231,Oistins,40,BB,1569648359,78,13.07,-59.53,82.4,14.99
232,Igarka,100,RU,1569648476,96,67.47,86.57,34.1,8.61
233,Warri,100,NG,1569648477,90,5.52,5.75,76.09,3.4
234,Feldkirchen an der Donau,75,AT,1569648478,87,48.34,14.05,57.99,4.7
235,Aklavik,5,CA,1569648123,92,68.22,-135.01,30.2,4.7
236,Havoysund,75,NO,1569648263,87,71.0,24.66,42.8,9.17
237,Mawlaik,77,MM,1569648481,53,23.63,94.42,84.1,4.12
238,Khingansk,50,RU,1569648482,46,49.12,131.18,73.1,11.07
239,Nador,75,MA,1569648483,88,35.17,-2.93,71.6,1.12
240,Uitenhage,75,ZA,1569648484,93,-33.77,25.4,64.4,4.7
241,Ancud,90,CL,1569648130,100,-41.87,-73.83,48.2,16.11
242,The Valley,20,AI,1569648486,78,18.22,-63.06,82.99,4.7
243,Kirkwall,100,GB,1569648487,100,58.98,-2.96,51.8,11.83
244,Tura,91,RU,1569648489,57,64.27,100.22,37.08,5.3
245,Anchorage,40,US,1569648490,80,61.22,-149.89,43.0,3.11
246,Vila Franca do Campo,40,PT,1569648217,88,37.72,-25.43,71.6,11.41
247,Lasa,20,CY,1569648360,73,34.92,32.53,73.4,5.82
248,Mahon,20,IE,1569648345,93,51.89,-8.4,55.0,14.99
249,Lompoc,90,US,1569648262,88,34.64,-120.46,68.0,4.7
250,Lubango,100,AO,1569648495,76,-14.92,13.49,69.05,1.3
251,Bathsheba,40,BB,1569648496,78,13.22,-59.52,82.4,14.99
252,Jizan,40,SA,1569648497,70,16.89,42.56,87.8,4.47
253,Ilulissat,0,GL,1569648176,45,69.22,-51.1,46.4,17.22
254,Komsomolskiy,29,RU,1569648499,73,67.55,63.78,33.61,4.59
255,Katsuura,75,JP,1569648500,58,33.93,134.5,84.0,9.17
256,Sokoni,91,CD,1569648501,35,-12.89,28.78,66.68,6.62
257,Upernavik,25,GL,1569648225,73,72.79,-56.15,41.17,10.11
258,Dawei,36,MM,1569648503,69,14.07,98.19,84.28,8.1
259,Mayo,5,CA,1569648504,79,63.59,-135.9,28.4,3.36
260,Sherpur,100,BD,1569648505,87,25.02,90.01,77.21,7.92
261,Vostok,0,RU,1569648506,49,46.45,135.83,74.76,5.99
262,Bambanglipuro,8,ID,1569648230,86,-7.95,110.28,76.07,18.43
263,Cidreira,100,BR,1569648087,72,-30.17,-50.22,58.07,11.36
264,Mossendjo,100,CG,1569648509,93,-2.95,12.72,71.79,1.95
265,Brae,66,GB,1569648510,100,60.4,-1.35,51.8,13.87
266,Porosozero,93,RU,1569648511,89,62.72,32.71,43.46,4.83
267,Sudzha,0,RU,1569648513,78,51.19,35.27,48.51,4.03
268,La Ronge,90,CA,1569648271,64,55.1,-105.3,37.4,5.82
269,Kralendijk,0,BQ,1569648432,83,12.15,-68.27,82.4,9.17
270,Lewistown,90,US,1569648516,100,40.39,-90.15,66.99,6.93
271,Martapura,100,ID,1569648517,52,-3.41,114.85,90.11,11.5
272,Bethel,90,US,1569648167,87,60.79,-161.76,48.2,11.41
